Day;Hour
1.291900561;3.972929626
3.043303929;3.972669542
5.670408982;4.242549687
8.881315156;4.458289083
13.25982358;4.890071306
17.638332;5.213745421
22.01684042;5.699581699
26.39534884;6.131363922
31.06575782;6.563102798
36.02806736;7.102906435
40.11467522;7.642840114
43.90938252;8.128763085
48.87169206;8.614512668
53.54210104;9.154359652
58.50441059;9.748217343
64.63432237;10.28784759
68.42902967;10.82782462
71.34803528;11.04360736
74.85084202;11.47551963
78.93744988;11.85329114
83.60785886;12.44719218
87.69446672;12.87901775
92.3648757;13.31075663
97.03528468;13.85060361
100.2461909;14.28255922
103.457097;14.55235267
109.0032077;15.03801556
110.4627105;15.3080691
114.8412189;15.73985132
118.9278268;16.11762284
122.4306335;16.5495351
126.2253408;16.98140402
129.7281476;17.30520818
135.2742582;17.95303323
140.2365678;18.3306747
145.1988773;18.81642428
148.1178829;19.19436919
152.4963913;19.5180433
157.7506014;19.94969549
162.1291099;20.11120744
166.5076183;20.27271939
171.7618284;20.38004725
177.5998396;20.27107219
184.8973536;19.94566419
191.0272654;19.72853768
195.4057739;19.34950909
199.4923817;19.02457791
202.4113873;18.69982011
205.6222935;18.32096491
210.8765036;17.83369817
215.255012;17.45466959
219.0497193;16.96761958
223.7201283;16.6426017
227.5148356;16.1555517
231.0176423;15.83070721
235.6880513;15.34352717
239.4827586;14.91053122
242.4017642;14.53171937
245.904571;14.15282082
251.1587811;13.66555409
254.3696872;13.17859078
258.1643945;12.907757
263.7105052;12.3123388
266.6295108;11.8794729
270.1323176;11.60868246
272.7594226;11.28396801
276.2622294;10.90506946
279.181235;10.58031167
282.3921411;10.36361863
285.3111468;9.930752725
289.105854;9.551810832
294.6519647;9.010446694
298.7385726;8.469299291
303.7008821;8.036129955
309.5388933;7.332560307
314.5012029;6.575066646
318.5878107;6.304189514
323.5501203;5.816966124
329.096231;5.275601985
332.5990377;4.950757494
338.4370489;4.409350008
341.9398557;4.13855957
348.9454691;3.705086803
354.4915798;3.650209151
360.0376905;3.703439606
364.1242983;3.864994907
365.2919006;3.918875572
