Day;ET
96.55172414;0.25
106.8965517;0.275862069
118.9655172;0.482758621
124.137931;0.818965517
129.3103448;1.413793103
139.6551724;1.853448276
155.1724138;1.982758621
167.2413793;1.982758621
174.137931;2.163793103
181.0344828;2.293103448
196.5517241;2.137931034
213.7931034;2.344827586
222.4137931;2.060344828
234.4827586;1.75
237.9310345;1.413793103
250;1.232758621
258.6206897;1.077586207
267.2413793;0.870689655
274.137931;0.560344828
287.9310345;0.25
294.8275862;0.017241379
305.1724138;-0.034482759
318.9655172;-0.060344828
