Day;ET
96.55172414;0.379310345
108.6206897;0.50862069
120.6896552;0.870689655
136.2068966;1.646551724
156.8965517;2.034482759
168.9655172;1.724137931
184.4827586;2.215517241
184.4827586;2.577586207
194.8275862;3.017241379
208.6206897;3.224137931
222.4137931;2.887931034
232.7586207;2.448275862
237.9310345;2.00862069
239.6551724;1.698275862
246.5517241;1.310344828
251.7241379;1
262.0689655;0.74137931
275.862069;0.534482759
281.0344828;0.353448276
293.1034483;0.146551724
312.0689655;0.017241379
