Day;ET
99.99169040835727;0.2800749222504919
114.0883190883194;0.3573826689284676
120.76566951566974;0.5009541984732824
134.12037037037067;0.6666136556403721
140.797720797721;1.1525480633305047
153.41049382716096;1.340295448119873
163.79748338081708;1.5501307605315215
176.4102564102568;1.75996607294317
187.53917378917413;1.848317783432286
199.41001899335265;1.8593617472434243
214.24857549857597;1.704746253887473
220.18399810066512;1.4949109414758261
230.57098765432124;1.2740316652530375
238.73219373219422;1.0421084252191104
246.89339981006674;0.7439214023183478
252.82882241215634;0.5672179813401161
263.21581196581246;0.32425077749504894
275.08665716999076;0.1585913203279592
288.4413580246917;0.13650339270568068
298.8283475783478;0.09232753746112365
