Day;ET
102.5102404;0.30873454
109.2082;0.584749356
119.6272481;0.816601801
127.0694254;0.993251283
136.7442558;1.158860173
147.163304;1.368631433
156.0939167;1.611524471
167.2571826;1.721930397
177.6762308;1.832336324
192.5605853;2.008985806
202.2354157;2.020026398
215.6313348;2.042107584
235.7252134;2.042107584
241.6789552;1.710889805
246.1442615;1.412793803
253.5864388;1.169900765
257.3075274;0.849723579
268.4707933;0.628911726
281.1224947;0.485384022
289.3088897;0.209369206
301.960591;0.043760316
