Na,Jmax
4.855177865612647, 267.27272727272725
6.496758893280632, 222.72727272727272
5.389723320158101, 205.45454545454544
5.76679841897233, 196.36363636363635
5.6997628458498015, 189.09090909090907
5.351620553359683, 190
6.378814229249012, 186.8181818181818
6.687114624505928, 175.45454545454544
6.882371541501974, 164.0909090909091
5.322055335968379, 174.99999999999997
5.413438735177865, 162.27272727272728
4.772490118577075, 154.99999999999997
4.593833992094861, 168.63636363636363
4.6997628458498015, 189.09090909090907
2.84490118577075, 221.8181818181818
3.5568379446640304, 200
3.5694861660079047, 188.63636363636363
3.787826086956521, 185.9090909090909
3.2577075098814214, 185
2.8657707509881405, 186.8181818181818
2.4384189723320153, 165.45454545454544
2.1353359683794455, 161.8181818181818
2.8098023715415, 172.72727272727272
2.063399209486165, 143.63636363636363
2.2265612648221333, 149.54545454545453
2.4507509881422918, 154.99999999999997
2.6423715415019755, 154.0909090909091
2.8248221343873503, 154.54545454545453
3.188616600790512, 158.63636363636363
3.440790513833991, 158.63636363636363
3.2711462450592874, 146.36363636363635
3.403478260869565, 140.9090909090909
4.191304347826087, 150.90909090909088
3.182450592885375, 126.36363636363635
2.9329644268774695, 143.63636363636363
2.7859288537549407, 141.36363636363635
2.5070355731225282, 143.18181818181816
2.9827667984189716, 150.45454545454544
2.3753359683794457, 146.8181818181818
2.2399999999999993, 160.90909090909088
2.4997628458498014, 164.0909090909091
3.0913833992094846, 163.18181818181816
3.0849011857707502, 156.81818181818178
