Nr,Date,SWRos2,SWRos3
1462,2018-01-01,25.60001669,16.80001695
1463,2018-01-02,25.60001113,16.8000113
1464,2018-01-03,25.60000742,16.80000753
1465,2018-01-04,25.60000495,16.80000502
1466,2018-01-05,25.6000033,16.80000335
1467,2018-01-06,25.6000022,16.80000223
1468,2018-01-07,25.60000147,16.80000149
1469,2018-01-08,25.60000098,16.80000099
1470,2018-01-09,25.60000065,16.80000066
1471,2018-01-10,25.60000043,16.80000044
1472,2018-01-11,25.60000029,16.80000029
1473,2018-01-12,25.60000019,16.8000002
1474,2018-01-13,25.60000013,16.80000013
1475,2018-01-14,25.60000009,16.80000009
1476,2018-01-15,25.60000006,16.80000006
1477,2018-01-16,25.60000004,16.80000004
1478,2018-01-17,25.60000003,16.80000003
1479,2018-01-18,25.60000002,16.80000002
1480,2018-01-19,25.60000001,16.80000001
1481,2018-01-20,25.60000001,16.80000001
1482,2018-01-21,25.60000001,16.80000001
1483,2018-01-22,25.6,16.8
1484,2018-01-23,25.6,16.8
1485,2018-01-24,25.6,16.8
1486,2018-01-25,25.7127556,16.92314122
1487,2018-01-26,25.6751704,16.88209414
1488,2018-01-27,25.6501136,16.85472943
1489,2018-01-28,25.63340907,16.83648629
1490,2018-01-29,25.62227271,16.82432419
1491,2018-01-30,25.61484847,16.81621613
1492,2018-01-31,25.60989898,16.81081075
1493,2018-02-01,25.60659932,16.80720717
1494,2018-02-02,25.60439955,16.80480478
1495,2018-02-03,25.60293303,16.80320319
1496,2018-02-04,25.60195535,16.80213546
1497,2018-02-05,25.60130357,16.80142364
1498,2018-02-06,25.60086905,16.80094909
1499,2018-02-07,25.60057936,16.80063273
1500,2018-02-08,25.60038624,16.80042182
1501,2018-02-09,25.6002575,16.80028121
1502,2018-02-10,25.60017166,16.80018747
1503,2018-02-11,25.60011444,16.80012498
1504,2018-02-12,25.60007629,16.80008332
1505,2018-02-13,25.60005086,16.80005555
1506,2018-02-14,25.60003391,16.80003703
1507,2018-02-15,25.60002261,16.80002469
1508,2018-02-16,25.60001507,16.80001646
1509,2018-02-17,25.60001005,16.80001097
1510,2018-02-18,25.6000067,16.80000731
1511,2018-02-19,25.60000447,16.80000488
1512,2018-02-20,25.60000298,16.80000325
1513,2018-02-21,25.60000198,16.80000217
1514,2018-02-22,25.60000132,16.80000144
1515,2018-02-23,25.60000088,16.80000096
1516,2018-02-24,25.60000059,16.80000064
1517,2018-02-25,25.60000039,16.80000043
1518,2018-02-26,25.60000026,16.80000029
1519,2018-02-27,25.60000017,16.80000019
1520,2018-02-28,25.60000012,16.80000013
1521,2018-03-01,25.60000008,16.80000008
1522,2018-03-02,25.60000005,16.80000006
1523,2018-03-03,25.60000003,16.80000004
1524,2018-03-04,25.60000002,16.80000003
1525,2018-03-05,25.60000002,16.80000002
1526,2018-03-06,25.60000001,16.80000001
1527,2018-03-07,25.60000001,16.80000001
1528,2018-03-08,25.6,16.8
1529,2018-03-09,25.6,16.8
1530,2018-03-10,25.6,16.8
1531,2018-03-11,25.6,16.8
1532,2018-03-12,25.6,16.8
1533,2018-03-13,25.6,16.8
1534,2018-03-14,25.6,16.8
1535,2018-03-15,25.6,16.8
1536,2018-03-16,25.6,16.8
1537,2018-03-17,25.6,16.8
1538,2018-03-18,25.77890909,16.98618182
1539,2018-03-19,25.71927273,16.92412121
1540,2018-03-20,25.67951515,16.88274747
1541,2018-03-21,25.77082828,16.95116498
1542,2018-03-22,25.71388552,16.90077666
1543,2018-03-23,25.67592368,16.86718444
1544,2018-03-24,25.65061579,16.84478962
1545,2018-03-25,25.63374386,16.82985975
1546,2018-03-26,25.62249591,16.8199065
1547,2018-03-27,25.61499727,16.813271
1548,2018-03-28,25.60999818,16.80884733
1549,2018-03-29,25.60666545,16.80589822
1550,2018-03-30,25.60444364,16.80393215
1551,2018-03-31,25.60296242,16.80262143
1552,2018-04-01,25.60197495,16.80174762
1553,2018-04-02,25.60131663,16.80116508
1554,2018-04-03,25.60087776,16.80077672
1555,2018-04-04,25.60058517,16.80051781
1556,2018-04-05,25.60039011,16.80034521
1557,2018-04-06,25.60026008,16.80023014
1558,2018-04-07,25.60017338,16.80015343
1559,2018-04-08,25.60011559,16.80010228
1560,2018-04-09,25.60007706,16.80006819
1561,2018-04-10,25.60005137,16.80004546
1562,2018-04-11,25.60003425,16.80003031
1563,2018-04-12,25.60002283,16.8000202
1564,2018-04-13,25.60001522,16.80001347
1565,2018-04-14,25.60001015,16.80000898
1566,2018-04-15,25.60000677,16.80000599
1567,2018-04-16,25.60000451,16.80000399
1568,2018-04-17,25.60000301,16.80000266
1569,2018-04-18,25.600002,16.80000177
1570,2018-04-19,25.60000134,16.80000118
1571,2018-04-20,25.62984644,16.83179706
1572,2018-04-21,25.61989763,16.82119804
1573,2018-04-22,25.61326508,16.8007764
1574,2018-04-23,25.74314837,16.94360083
1575,2018-04-24,25.88942832,17.10240967
1576,2018-04-25,25.79295221,17.00160645
1577,2018-04-26,25.72863481,16.9172265
1578,2018-04-27,25.68575654,16.77938938
1579,2018-04-28,25.64841576,16.64495502
1580,2018-04-29,25.50665243,16.51038785
1581,2018-04-30,25.38765019,16.39892185
1582,2018-05-01,25.66735231,16.73278273
1583,2018-05-02,25.95827982,17.08904937
1584,2018-05-03,25.98808096,17.15168095
1585,2018-05-04,26.29148112,17.49549995
1586,2018-05-05,26.06098741,17.26366663
1587,2018-05-06,25.90732494,17.10911109
1588,2018-05-07,25.87949717,17.08556474
1589,2018-05-08,25.78633145,16.9903765
1590,2018-05-09,25.68586455,16.85497601
1591,2018-05-10,25.43531304,16.62178702
1592,2018-05-11,25.17306442,16.37979767
1593,2018-05-12,24.89862996,16.12760712
1594,2018-05-13,24.60960974,15.86047197
1595,2018-05-14,24.30566429,15.58239619
1596,2018-05-15,24.01539897,15.32325802
1597,2018-05-16,23.67829536,15.01927194
1598,2018-05-17,23.60513661,14.97589328
1599,2018-05-18,23.27033404,14.66939873
1600,2018-05-19,22.93700278,14.3738442
1601,2018-05-20,22.65679889,14.1277853
1602,2018-05-21,22.30510035,13.81693489
1603,2018-05-22,21.95271052,13.50508837
1604,2018-05-23,21.57861125,13.17546721
1605,2018-05-24,21.21755727,12.85906212
1606,2018-05-25,20.86495586,12.54932524
1607,2018-05-26,20.49643749,12.22965157
1608,2018-05-27,20.10436993,11.88732262
1609,2018-05-28,19.71179263,11.54440674
1610,2018-05-29,19.32037873,11.20482726
1611,2018-05-30,18.91583125,10.85519844
1612,2018-05-31,18.50342626,10.50086853
1613,2018-06-01,18.3512323,10.38455977
1614,2018-06-02,17.92948541,10.02294699
1615,2018-06-03,17.57056582,9.71739539
1616,2018-06-04,17.19032968,9.396629542
1617,2018-06-05,16.87676494,9.123529392
1618,2018-06-06,16.57841224,8.874281551
1619,2018-06-07,16.37923009,8.717060507
1620,2018-06-08,16.049128,8.468878952
1621,2018-06-09,15.69213189,8.226616613
1622,2018-06-10,15.3410692,8.011640106
1623,2018-06-11,14.95301184,7.795338883
1624,2018-06-12,15.00000082,7.959912496
1625,2018-06-13,14.99881824,8.108273488
1626,2018-06-14,14.72737586,7.974376071
1627,2018-06-15,15.04048259,8.373363316
1628,2018-06-16,14.99552914,8.466366847
1629,2018-06-17,14.62731366,8.219586218
1630,2018-06-18,16.23542633,9.926903495
1631,2018-06-19,16.76366322,10.48760454
1632,2018-06-20,16.76366322,10.48760454
1633,2018-06-21,16.76366322,10.48760454
1634,2018-06-22,18.43256967,12.25801625
1635,2018-06-23,18.52036021,12.3511331
1636,2018-06-24,18.52036021,12.3511331
1637,2018-06-25,18.52036021,12.3511331
1638,2018-06-26,18.23874832,12.1580855
1639,2018-06-27,17.83320573,11.79697062
1640,2018-06-28,18.35716689,12.35188909
1641,2018-06-29,18.1729117,12.19022715
1642,2018-06-30,17.80535358,11.8703176
1643,2018-07-01,17.38668463,11.49756013
1644,2018-07-02,16.96917355,11.12722574
1645,2018-07-03,16.57816835,10.78087301
1646,2018-07-04,16.29302862,10.53962086
1647,2018-07-05,15.92047302,10.21231165
1648,2018-07-06,15.72677229,10.03851111
1649,2018-07-07,15.31495324,9.683639619
1650,2018-07-08,14.87035039,9.294895336
1651,2018-07-09,14.48229651,8.947715178
1652,2018-07-10,14.13590563,8.669703656
1653,2018-07-11,13.69436358,8.342417307
1654,2018-07-12,13.29641999,8.079771626
1655,2018-07-13,12.89434907,7.854734851
1656,2018-07-14,12.45610337,7.625642506
1657,2018-07-15,12.04484752,7.428513011
1658,2018-07-16,11.62574621,7.256558299
1659,2018-07-17,11.26883415,7.108676276
1660,2018-07-18,10.93348575,6.985236361
1661,2018-07-19,10.61051413,6.875738727
1662,2018-07-20,10.30796274,6.787214801
1663,2018-07-21,10.04017516,6.722393194
1664,2018-07-22,9.963132248,6.72303592
1665,2018-07-23,19.4603334,16.34772562
1666,2018-07-24,19.4603334,16.34772562
1667,2018-07-25,19.4603334,16.34772562
1668,2018-07-26,22.88740287,18.91590523
1669,2018-07-27,22.88740287,18.21060348
1670,2018-07-28,22.88740287,17.74040232
1671,2018-07-29,25.09105555,18.98019371
1672,2018-07-30,27.0327376,20.03831762
1673,2018-07-31,26.5551584,18.95887841
1674,2018-08-01,26.23677227,18.23925227
1675,2018-08-02,28.60968818,20.38938305
1676,2018-08-03,27.60645879,19.19292203
1677,2018-08-04,26.93763919,18.39528136
1678,2018-08-05,26.62061359,17.99920893
1679,2018-08-06,26.40926318,17.73516065
1680,2018-08-07,25.89602918,17.25750244
1681,2018-08-08,25.70842057,17.04682367
1682,2018-08-09,25.30407812,16.68229727
1683,2018-08-10,25.20144556,16.62528191
1684,2018-08-11,24.85183117,16.3108386
1685,2018-08-12,24.46635409,15.97092643
1686,2018-08-13,24.16125959,15.69997048
1687,2018-08-14,23.90000211,15.47754281
1688,2018-08-15,23.5442482,15.15808262
1689,2018-08-16,23.24701686,14.91069344
1690,2018-08-17,22.9007724,14.60793991
1691,2018-08-18,23.15799858,14.90710192
1692,2018-08-19,22.90593215,14.70597308
1693,2018-08-20,22.51700455,14.36320779
1694,2018-08-21,22.14972591,14.03972563
1695,2018-08-22,22.47186122,14.3789457
1696,2018-08-23,22.30496859,14.25076748
1697,2018-08-24,22.69153096,14.65783156
1698,2018-08-25,23.03514196,15.0196663
1699,2018-08-26,24.58139144,16.64792263
1700,2018-08-27,24.58139144,16.64792263
1701,2018-08-28,24.58139144,16.64792263
1702,2018-08-29,24.58139144,16.64792263
1703,2018-08-30,24.94647812,16.95491469
1704,2018-08-31,24.94647812,16.90327646
1705,2018-09-01,24.94211777,16.86885098
1706,2018-09-02,24.65901731,16.63459258
1707,2018-09-03,24.35714294,16.36457516
1708,2018-09-04,24.40085154,16.45601514
1709,2018-09-05,24.1009344,16.1882368
1710,2018-09-06,23.87136402,15.98416286
1711,2018-09-07,23.61136954,15.75373819
1712,2018-09-08,23.38793875,15.56169343
1713,2018-09-09,23.36892968,15.54751164
1714,2018-09-10,23.81991911,16.02241974
1715,2018-09-11,24.1635301,16.38425448
1716,2018-09-12,24.3353356,16.56517185
1717,2018-09-13,24.3353356,16.56517185
1718,2018-09-14,24.18945257,16.47383513
1719,2018-09-15,24.4686365,16.76782586
1720,2018-09-16,24.30715152,16.62005515
1721,2018-09-17,24.36801499,16.69462461
1722,2018-09-18,24.19968164,16.54771926
1723,2018-09-19,25.25199032,17.37055877
1724,2018-09-20,25.35936875,17.25575475
1725,2018-09-21,25.81182441,17.49582413
1726,2018-09-22,26.02755877,17.56541171
1727,2018-09-23,25.88503918,17.31027447
1728,2018-09-24,25.79002612,17.14018298
1729,2018-09-25,25.72668408,17.02678865
1730,2018-09-26,25.95648143,17.23764494
1731,2018-09-27,25.83765428,17.09176329
1732,2018-09-28,25.75843619,16.99450886
1733,2018-09-29,25.80584574,17.03521028
1734,2018-09-30,25.73723049,16.95680685
1735,2018-10-01,25.72012207,16.93469202
1736,2018-10-02,25.68008138,16.88979468
1737,2018-10-03,25.72497664,16.93525043
1738,2018-10-04,25.68331776,16.89016696
1739,2018-10-05,26.14236617,17.37276787
1740,2018-10-06,25.96157745,17.18184525
1741,2018-10-07,25.84105163,17.0545635
1742,2018-10-08,25.88957716,17.1054295
1743,2018-10-09,25.80737171,17.01870076
1744,2018-10-10,25.73824781,16.94580051
1745,2018-10-11,25.6921652,16.89720034
1746,2018-10-12,25.66144347,16.86480023
1747,2018-10-13,25.64096231,16.84320015
1748,2018-10-14,25.62730821,16.8288001
1749,2018-10-15,25.83317524,17.0456611
1750,2018-10-16,25.75545016,16.96377407
1751,2018-10-17,25.7323142,16.93940417
1752,2018-10-18,25.68820947,16.89293612
1753,2018-10-19,25.65880631,16.86195741
1754,2018-10-20,25.68229921,16.88674509
1755,2018-10-21,26.28747829,17.52508743
1756,2018-10-22,26.07271181,17.29857884
1757,2018-10-23,25.91514121,17.13238589
1758,2018-10-24,25.81009414,17.02159059
1759,2018-10-25,25.74006276,16.94772706
1760,2018-10-26,25.69337517,16.89848471
1761,2018-10-27,25.66225012,16.86565647
1762,2018-10-28,25.64150008,16.84377098
1763,2018-10-29,25.62766672,16.82918065
1764,2018-10-30,25.61844448,16.81945377
1765,2018-10-31,27.09784207,18.45828748
1766,2018-11-01,26.60100014,17.90951739
1767,2018-11-02,26.9134507,18.18802664
1768,2018-11-03,26.4779796,17.72879754
