Nr,Date,SWRos2,SWRos3
1097,2017-01-01,26.13289688,17.43082862
1098,2017-01-02,25.95526459,17.22055241
1099,2017-01-03,25.8590399,17.10440478
1100,2017-01-04,25.77269327,17.10330016
1101,2017-01-05,25.71512885,17.05723041
1102,2017-01-06,25.67675256,16.97148694
1103,2017-01-07,25.65116838,16.91432463
1104,2017-01-08,25.63411225,16.87621642
1105,2017-01-09,25.6227415,16.85081094
1106,2017-01-10,25.615161,16.83387396
1107,2017-01-11,25.61010733,16.82258264
1108,2017-01-12,25.72916246,16.91541873
1109,2017-01-13,25.68610831,16.87694582
1110,2017-01-14,25.65740554,16.85129721
1111,2017-01-15,25.63827036,16.83419814
1112,2017-01-16,25.62551357,16.82279876
1113,2017-01-17,25.61700905,16.81519917
1114,2017-01-18,25.61133937,16.81013278
1115,2017-01-19,26.72253547,17.90080404
1116,2017-01-20,26.34835698,17.53386936
1117,2017-01-21,26.09890465,17.28924624
1118,2017-01-22,26.1532571,17.32638242
1119,2017-01-23,26.59955576,17.76115332
1120,2017-01-24,26.2663705,17.44076888
1121,2017-01-25,26.16497428,17.32754289
1122,2017-01-26,26.34394705,17.62689446
1123,2017-01-27,26.0959647,17.35126298
1124,2017-01-28,25.93064313,17.16750865
1125,2017-01-29,25.82042876,17.04500577
1126,2017-01-30,25.7469525,16.96333718
1127,2017-01-31,25.69796834,16.90889145
1128,2017-02-01,25.66531222,16.8725943
1129,2017-02-02,25.64354148,16.8483962
1130,2017-02-03,25.62902766,16.83226413
1131,2017-02-04,25.61935177,16.82150942
1132,2017-02-05,25.61290118,16.81433962
1133,2017-02-06,25.60860079,16.80955974
1134,2017-02-07,25.60573386,16.80637316
1135,2017-02-08,25.60382257,16.80424877
1136,2017-02-09,25.60254838,16.80283252
1137,2017-02-10,25.60169892,16.80188834
1138,2017-02-11,25.60113261,16.8012589
1139,2017-02-12,25.60075508,16.80083926
1140,2017-02-13,25.94014538,17.13613436
1141,2017-02-14,25.82676359,17.02408957
1142,2017-02-15,25.75117572,16.94939305
1143,2017-02-16,25.70078382,16.89959537
1144,2017-02-17,25.66718921,16.86639691
1145,2017-02-18,25.64479281,16.84426461
1146,2017-02-19,25.62986187,16.82950974
1147,2017-02-20,25.61990791,16.81967316
1148,2017-02-21,25.61327194,16.81311544
1149,2017-02-22,25.60884796,16.80874363
1150,2017-02-23,25.60589864,16.80582908
1151,2017-02-24,25.60393243,16.80388606
1152,2017-02-25,25.60262162,16.8025907
1153,2017-02-26,25.60174775,16.80172714
1154,2017-02-27,25.60116516,16.80115142
1155,2017-02-28,25.60077678,16.80076762
1156,2017-03-01,25.60051785,16.80051174
1157,2017-03-02,25.60034523,16.80034116
1158,2017-03-03,25.60023016,16.80022744
1159,2017-03-04,25.60015344,16.80015163
1160,2017-03-05,25.60010229,16.80010109
1161,2017-03-06,25.60006819,16.80006739
1162,2017-03-07,25.60004546,16.80004493
1163,2017-03-08,25.60003031,16.80002995
1164,2017-03-09,25.60002021,16.80001997
1165,2017-03-10,25.60001347,16.80001331
1166,2017-03-11,25.60000898,16.80000887
1167,2017-03-12,25.60000599,16.80000592
1168,2017-03-13,25.60000399,16.80000394
1169,2017-03-14,26.34363812,17.53556333
1170,2017-03-15,27.44134026,18.67993923
1171,2017-03-16,27.21446926,18.48529282
1172,2017-03-17,27.00925863,18.27611973
1173,2017-03-18,26.53950576,17.78407982
1174,2017-03-19,26.22633717,17.45605321
1175,2017-03-20,26.01755811,17.23736881
1176,2017-03-21,25.92782662,17.17594284
1177,2017-03-22,26.34259238,17.58914386
1178,2017-03-23,26.13142522,17.40755045
1179,2017-03-24,25.95428348,17.22103364
1180,2017-03-25,26.2234754,17.45392056
1181,2017-03-26,26.31193892,17.26853822
1182,2017-03-27,26.19550043,17.24113373
1183,2017-03-28,25.99700028,17.09408915
1184,2017-03-29,25.86466686,16.99605943
1185,2017-03-30,25.77644457,16.93070629
1186,2017-03-31,25.71762971,16.88713753
1187,2017-04-01,25.83285636,17.01945331
1188,2017-04-02,25.83134373,17.0273827
1189,2017-04-03,26.45704683,17.57951513
1190,2017-04-04,26.20195624,17.35226794
1191,2017-04-05,26.00130416,17.16817862
1192,2017-04-06,25.86753611,17.04545242
1193,2017-04-07,25.77835741,16.96363494
1194,2017-04-08,25.71890494,16.90908996
1195,2017-04-09,25.87625059,17.08258205
1196,2017-04-10,25.98114769,17.19824345
1197,2017-04-11,25.9145357,17.12988309
1198,2017-04-12,25.80969047,17.01992206
1199,2017-04-13,25.73979364,16.94661471
1200,2017-04-14,25.69319576,16.89774314
1201,2017-04-15,25.66213051,16.86516209
1202,2017-04-16,25.64142034,16.84344139
1203,2017-04-17,25.62761356,16.82896093
1204,2017-04-18,25.61840904,16.81930729
1205,2017-04-19,25.63651512,16.84767875
1206,2017-04-20,25.88653891,17.07604761
1207,2017-04-21,25.82161763,17.01662292
1208,2017-04-22,25.85369679,17.05729205
1209,2017-04-23,25.76913119,16.97152804
1210,2017-04-24,25.7276769,16.93025016
1211,2017-04-25,25.68511794,16.88683344
1212,2017-04-26,25.76269699,16.97076573
1213,2017-04-27,25.78457081,16.99492432
1214,2017-04-28,25.72304721,16.92994955
1215,2017-04-29,25.68203147,16.88663303
1216,2017-04-30,25.79123104,17.00322331
1217,2017-05-01,25.72748736,16.93548221
1218,2017-05-02,25.68499157,16.89032147
1219,2017-05-03,25.65666105,16.86021431
1220,2017-05-04,25.63777403,16.75743283
1221,2017-05-05,25.62518269,16.58164722
1222,2017-05-06,25.61678846,16.47999971
1223,2017-05-07,25.73206677,16.67316204
1224,2017-05-08,25.65557337,16.6211839
1225,2017-05-09,25.55560531,16.52356866
1226,2017-05-10,25.61383154,16.57125351
1227,2017-05-11,25.64103769,16.62411558
1228,2017-05-12,25.71838736,16.76203224
1229,2017-05-13,25.5995634,16.63966166
1230,2017-05-14,25.49845399,16.54646515
1231,2017-05-15,25.34134899,16.38554516
1232,2017-05-16,25.18638923,16.22988334
1233,2017-05-17,25.48185959,16.54466571
1234,2017-05-18,29.37575018,20.58382616
1235,2017-05-19,28.51834683,19.72601509
1236,2017-05-20,27.54556456,18.75067673
1237,2017-05-21,26.89704304,18.10045115
1238,2017-05-22,26.46469536,17.66696743
1239,2017-05-23,26.17646357,17.37797829
1240,2017-05-24,25.98430905,17.18531886
1241,2017-05-25,25.7909264,16.93645174
1242,2017-05-26,25.51301881,16.67849303
1243,2017-05-27,25.59110703,16.77090224
1244,2017-05-28,25.89692915,17.10323967
1245,2017-05-29,25.67305156,16.88307945
1246,2017-05-30,25.37872013,16.60938701
1247,2017-05-31,25.22654169,16.47831692
1248,2017-06-01,25.01722279,16.28881362
1249,2017-06-02,24.73506246,16.02760407
1250,2017-06-03,24.44741161,15.76110688
1251,2017-06-04,24.55210866,15.88208778
1252,2017-06-05,25.48269154,16.8489177
1253,2017-06-06,25.48269154,16.8326118
1254,2017-06-07,25.36366795,16.69948677
1255,2017-06-08,25.06270856,16.42088174
1256,2017-06-09,24.95133803,16.32903775
1257,2017-06-10,24.63379923,16.03860755
1258,2017-06-11,24.42687078,15.8545167
1259,2017-06-12,24.246992,15.69577301
1260,2017-06-13,23.88612245,15.36603303
1261,2017-06-14,23.51404429,15.02647674
1262,2017-06-15,23.13858832,14.68735987
1263,2017-06-16,22.79069486,14.37702613
1264,2017-06-17,22.9476052,14.5668911
1265,2017-06-18,22.59145799,14.2468331
1266,2017-06-19,22.19873078,13.89807088
1267,2017-06-20,21.83215282,13.57511035
1268,2017-06-21,23.2743009,15.10904773
1269,2017-06-22,23.43187865,15.27663872
1270,2017-06-23,23.43187865,15.27663872
1271,2017-06-24,24.19699612,16.09024104
1272,2017-06-25,25.84985869,17.58699662
1273,2017-06-26,27.12123972,18.69651872
1274,2017-06-27,26.65918674,18.11221014
1275,2017-06-28,26.30612449,17.67480676
1276,2017-06-29,26.07074966,17.38320451
1277,2017-06-30,25.91383311,17.18224759
1278,2017-07-01,25.50202903,16.80199098
1279,2017-07-02,25.09945737,16.43534611
1280,2017-07-03,26.23515859,17.58540755
1281,2017-07-04,26.36590187,17.68707197
1282,2017-07-05,26.27403205,17.56480811
1283,2017-07-06,26.06400524,17.32541677
1284,2017-07-07,25.90933682,17.15027785
1285,2017-07-08,25.6093692,16.86152357
1286,2017-07-09,25.24710882,16.53443465
1287,2017-07-10,25.35689209,16.66966471
1288,2017-07-11,25.06754866,16.41135686
1289,2017-07-12,26.0878775,17.43381851
1290,2017-07-13,25.92525167,17.22254567
1291,2017-07-14,26.03859969,17.31650457
1292,2017-07-15,25.76699244,17.04117098
1293,2017-07-16,25.89957523,17.17173064
1294,2017-07-17,25.73484784,17.00690149
1295,2017-07-18,26.0871059,17.35809337
1296,2017-07-19,25.83297592,17.09874697
1297,2017-07-20,25.55101089,16.83282084
1298,2017-07-21,25.32808913,16.63704891
1299,2017-07-22,25.11720572,16.45668875
1300,2017-07-23,24.88313741,16.25715624
1301,2017-07-24,25.26011764,16.66392044
1302,2017-07-25,24.95359354,16.38953991
1303,2017-07-26,24.54027878,16.014644
1304,2017-07-27,24.15159884,15.66532498
1305,2017-07-28,23.93875997,15.48314809
1306,2017-07-29,24.90232016,16.49972277
1307,2017-07-30,25.03387336,16.63847999
1308,2017-07-31,24.85462665,16.50502974
1309,2017-08-01,29.26265084,20.85028592
1310,2017-08-02,28.11498905,19.57738104
1311,2017-08-03,27.36421185,18.74387436
1312,2017-08-04,26.79048973,18.11103885
1313,2017-08-05,26.39365982,17.6740259
1314,2017-08-06,26.10493201,17.38268394
1315,2017-08-07,25.67783293,16.99823012
1316,2017-08-08,25.57399769,16.89052113
1317,2017-08-09,25.22975502,16.59222753
