Date	airTmean	airTmax	airTmin	Radiation	VP	Veg	CO2
2017-01-01	-7.5	-3.6	-11.4	NaN	3.4	0	397.329397916667
2017-01-02	-8.5	-6.6	-13.9	NaN	3	0	399.19636875
2017-01-03	-14.2	-8.9	-18.1	NaN	1.9	0	398.335061458333
2017-01-04	-16.4	-9	-24.9	NaN	1.6	0	398.091358333333
2017-01-05	-28.1	-23.1	-30.5	NaN	0.6	0	395.9843
2017-01-06	-15.8	-5.8	-28.7	NaN	2	0	399.064956770833
2017-01-07	-6.9	-4.3	-10.7	NaN	3.6	0	397.861482291667
2017-01-08	-4.4	-0.8	-8.5	NaN	4.3	0	396.989583854167
2017-01-09	-3.8	-1	-7.1	NaN	4.5	0	398.507680208333
2017-01-10	-1.7	0	-5.6	NaN	5.2	0	401.071507291667
2017-01-11	-0.4	0	-1.4	NaN	5.7	0	404.348658854167
2017-01-12	-2.7	-0.8	-3.9	NaN	4.8	0	407.991188020833
2017-01-13	-5	-1	-9.8	NaN	4.1	0	407.612234375
2017-01-14	-13.4	-8.1	-17.9	NaN	2.1	0	401.7433390625
2017-01-15	-15.4	-8.7	-19.1	NaN	1.7	0	397.446707291667
2017-01-16	-15.1	-12.2	-18.1	NaN	1.8	0	396.8436390625
2017-01-17	-8.8	-2.4	-17.4	NaN	3.1	0	397.746659895833
2017-01-18	-2	2.6	-4.7	NaN	5.2	0	397.3589265625
2017-01-19	-0.4	4	-6.2	NaN	4.7	0	396.742102958333
2017-01-20	-7.1	-2.1	-9.7	NaN	3.4	0	396.484576041667
2017-01-21	-5.9	-3.8	-9.1	NaN	3.8	0	396.402278125
2017-01-22	0.1	2	-5.6	NaN	6	0	397.684977083333
2017-01-23	0	2.5	-4.7	NaN	5.4	0	398.558684895833
2017-01-24	-7.8	-4.4	-11.2	NaN	3.1	0	399.241189583333
2017-01-25	-2.1	-0.9	-5.9	NaN	4.9	0	400.119473958333
2017-01-26	3.9	6.5	-2.3	NaN	6.8	0	400.922390625
2017-01-27	-3	2.1	-6.6	NaN	4.8	0	398.186921875
2017-01-28	-5.8	-2.8	-8.7	NaN	3.9	0	398.875409895833
2017-01-29	-3.9	-1.3	-9	NaN	4.4	0	404.3279046875
2017-01-30	-4.2	-2.6	-7.6	NaN	4.2	0	402.51430625
2017-01-31	-8.5	-4.5	-10.5	NaN	3.1	0	397.914253125
2017-02-01	-5.9	-2.8	-11.3	NaN	3.9	0	399.543361458333
2017-02-02	-3.8	-3.3	-4.5	NaN	4.4	0	400.8139734375
2017-02-03	-2.9	-2.1	-3.7	NaN	4.7	0	404.674310416667
2017-02-04	-2.7	-1.9	-3.2	NaN	4.8	0	405.716225520833
2017-02-05	-3.2	-2.1	-5.9	NaN	4.5	0	403.780035416667
2017-02-06	-7	-5.6	-9.3	NaN	3.2	0	401.990028125
2017-02-07	-11.4	-5.4	-17.6	NaN	2.2	0	400.0717859375
2017-02-08	-15.8	-7.9	-19.4	NaN	1.7	0	396.802590104167
2017-02-09	-14.2	-9.6	-20.1	NaN	1.9	0	400.660302083333
2017-02-10	-10.3	-7.3	-17.6	NaN	2.6	0	401.118656770833
2017-02-11	-11.4	-6.7	-17.6	NaN	2.3	0	400.116708333333
2017-02-12	-6.5	1.7	-14.5	NaN	3.6	0	398.860544791667
2017-02-13	4.2	6.5	0.8	NaN	6.2	0	398.534734895833
2017-02-14	2.1	5.3	-4	NaN	5.8	0	398.827189583333
2017-02-15	-3.7	2.8	-7.9	NaN	4.5	0	399.9933
2017-02-16	-5.2	-1.9	-9.4	NaN	4	0	400.169858333333
2017-02-17	-0.2	6.9	-4.6	NaN	4.7	0	402.173144270833
2017-02-18	-2.1	3.6	-5.5	NaN	4.3	0	398.089564583333
2017-02-19	-2.7	-1.2	-6.4	NaN	4.7	0	398.4604140625
2017-02-20	-9.2	-2.2	-14.9	NaN	2.9	0	397.616730208333
2017-02-21	-12	-3.8	-17.4	NaN	2.1	0	397.780647395833
2017-02-22	-7.1	-2.8	-17.7	NaN	3.5	0	398.56929375
2017-02-23	-8.2	-5.9	-10.9	NaN	2.8	0	400.1034390625
2017-02-24	-8.3	-6.1	-10.5	NaN	2.6	0	398.996193229167
2017-02-25	-7.8	0.3	-15.8	NaN	2.7	0	400.011894791667
2017-02-26	-13.3	-2.1	-18.9	NaN	1.9	0	399.45440625
2017-02-27	-9.6	-5.8	-15.9	NaN	2.7	0	401.873566145833
2017-02-28	-3.4	-1.3	-5.9	NaN	4.5	0	403.203451041667
2017-03-01	-2.7	-1.3	-3.7	NaN	4.6	0	405.803030208333
2017-03-02	-4.7	-2.5	-5.9	NaN	3.9	0	403.727979444444
2017-03-03	-7.3	-0.8	-15.2	NaN	3.1	0	401.548221875
2017-03-04	-8.8	-0.3	-16.3	NaN	2.7	0	401.884585416667
2017-03-05	-13	-2.6	-20.2	NaN	1.9	0	402.156002083333
2017-03-06	-12.3	-0.3	-20.4	NaN	2	0	401.436318229167
2017-03-07	-11.3	-0.8	-21.7	NaN	2.1	0	402.674823958333
2017-03-08	-6.1	-3.3	-8.3	NaN	3.4	0	404.136850520833
2017-03-09	-3.7	-0.8	-8.5	NaN	4.4	0	405.340303645833
2017-03-10	-3.2	1.9	-8.3	NaN	4	0	404.199780208333
2017-03-11	-2.2	8.3	-9.6	NaN	4.4	0	401.973668229167
2017-03-12	-1.2	8.5	-7.8	NaN	4.7	0	402.848148958333
2017-03-13	-0.4	8.8	-6.1	NaN	5.4	0	402.6086015625
2017-03-14	0.5	3.9	-1.3	NaN	6	0	403.9710921875
2017-03-15	2	6.8	-2.9	NaN	5.4	0	401.236028333333
2017-03-16	1.7	5.1	-0.9	NaN	4.2	0	401.294901041667
2017-03-17	1	6.6	-4.9	NaN	5	0	401.5597953125
2017-03-18	-1	2.8	-5.2	NaN	3.3	0	402.003361979167
2017-03-19	-4.7	1.1	-10.4	NaN	2.9	0	402.018252083333
2017-03-20	-1.8	2.6	-6.8	NaN	4.6	0	402.007409375
2017-03-21	-1.1	-0.7	-1.4	NaN	5.4	0	403.345291666667
2017-03-22	0.2	3.3	-2.8	NaN	5.4	0	404.113781770833
2017-03-23	-0.9	3	-5	NaN	2.9	0	401.874509895833
2017-03-24	-1.4	3.7	-6.1	NaN	3.7	0	401.888733333333
2017-03-25	2.1	7.7	-2.9	NaN	4.5	0	402.0159109375
2017-03-26	5.3	10.4	0.5	NaN	5.2	0	401.9239078125
2017-03-27	2.1	10.6	-2.4	NaN	4.6	0	401.661583854167
2017-03-28	-1.9	1.2	-5.9	NaN	2.5	0	401.859352604167
2017-03-29	-4.1	0.2	-9.5	NaN	2.2	0	401.065890104167
2017-03-30	-4	2	-12.4	NaN	2.6	0	400.938875520833
2017-03-31	-2	2.9	-6.6	NaN	3.2	0	401.0902875
2017-04-01	-0.5	1.7	-3.1	NaN	5.6	0	401.347320666667
2017-04-02	-1.4	0.3	-5.1	NaN	5.2	0	403.042600520833
2017-04-03	-1	4.6	-8.4	NaN	5.5	0	401.848067708333
2017-04-04	4.4	11.4	-0.7	NaN	6	0	399.766158333333
2017-04-05	2.3	8	-2.9	NaN	4.6	0	399.478344270833
2017-04-06	1.7	8.1	-2.4	NaN	5	0	399.607751041667
2017-04-07	0.3	4.8	-2.6	NaN	3.4	0	401.142254166667
2017-04-08	-1.2	3.6	-5.5	NaN	3.2	0	400.78268125
2017-04-09	3.6	10.1	-2.7	NaN	6.4	0	399.2462171875
2017-04-10	2.5	6.3	0.5	NaN	6.6	0	399.743570833333
2017-04-11	1.2	4.9	-1.1	NaN	4.8	0	401.558264583333
2017-04-12	-1.7	-0.1	-3.5	NaN	4.8	0	400.542917708333
2017-04-13	-5.2	-1.2	-10.9	NaN	3.2	0	402.805139583333
2017-04-14	-6.2	-0.9	-11.1	NaN	2.3	0	401.280428645833
2017-04-15	-5.6	-1.2	-10.6	NaN	2.8	0	400.655305208333
2017-04-16	-3.1	2.1	-9.3	NaN	2.8	0	400.712983333333
2017-04-17	-2.3	2.2	-9	NaN	2.5	0	400.469957291667
2017-04-18	-3.2	4.1	-11	NaN	2.3	0	400.866965625
2017-04-19	-0.7	6.6	-8.1	NaN	3	0	401.179811979167
2017-04-20	1.2	7.7	-5	NaN	5.1	0	400.461
2017-04-21	2.6	6.7	-1.9	NaN	5	0	399.139175
2017-04-22	1.7	5.6	-0.8	NaN	4.3	0	399.592620833333
2017-04-23	1.1	6.5	-3	NaN	4.3	0	399.687002604167
2017-04-24	-0.2	5.7	-5.5	NaN	4.6	0	400.107154166667
2017-04-25	1.3	5.4	-2.3	NaN	5.1	0	401.225247916667
2017-04-26	2.2	5.2	-1.2	NaN	4.4	0	401.457426041667
2017-04-27	0.5	3.3	-1.9	NaN	4.2	0	401.370284895833
2017-04-28	0.6	4.8	-3.2	NaN	3.6	0	400.641980729167
2017-04-29	0.9	4.5	-3.3	NaN	4	0	400.8255171875
2017-04-30	-0.6	1	-3	NaN	4.8	0	401.079822395833
2017-05-01	3	8.6	-4.7	NaN	4.1	0	400.461790104167
2017-05-02	5	9	-0.1	NaN	4.3	0	399.57419375
