Date,GPP_RO2,GPP_RO3
2018-01-01,0.16,0.13
2018-01-02,0.00,0.09
2018-01-03,-0.15,-0.35
2018-01-04,-0.14,-0.45
2018-01-05,0.11,0.06
2018-01-06,0.09,0.09
2018-01-07,0.04,0.06
2018-01-08,0.08,0.08
2018-01-09,0.00,0.27
2018-01-10,-0.07,-0.38
2018-01-11,-0.38,-0.69
2018-01-12,-0.44,-0.54
2018-01-13,-0.27,-0.71
2018-01-14,0.18,-0.15
2018-01-15,0.10,0.30
2018-01-16,-0.11,-0.07
2018-01-17,0.03,0.02
2018-01-18,-0.02,0.06
2018-01-19,-0.25,-0.11
2018-01-20,-0.05,-0.07
2018-01-21,-0.16,0.05
2018-01-22,-0.42,-0.36
2018-01-23,-0.32,-0.30
2018-01-24,0.00,-0.04
2018-01-25,0.12,-0.03
2018-01-26,0.02,0.08
2018-01-27,0.10,0.24
2018-01-28,0.22,0.13
2018-01-29,0.16,0.13
2018-01-30,0.15,0.06
2018-01-31,0.05,0.20
2018-02-01,0.01,-0.14
2018-02-02,-0.13,0.15
2018-02-03,0.09,0.22
2018-02-04,-0.25,0.09
2018-02-05,-0.41,-0.52
2018-02-06,-0.16,-0.10
2018-02-07,-0.34,-0.14
2018-02-08,-0.15,-0.14
2018-02-09,-0.01,0.18
2018-02-10,0.24,0.24
2018-02-11,0.35,0.33
2018-02-12,0.17,0.29
2018-02-13,0.24,0.13
2018-02-14,0.41,0.31
2018-02-15,0.21,0.25
2018-02-16,0.39,0.34
2018-02-17,0.24,0.32
2018-02-18,0.30,0.49
2018-02-19,0.47,0.26
2018-02-20,-0.06,-0.14
2018-02-21,-0.07,-0.26
2018-02-22,-0.08,-0.28
2018-02-23,0.19,0.01
2018-02-24,0.18,-0.03
2018-02-25,0.14,-0.04
2018-02-26,0.19,0.41
2018-02-27,0.15,0.19
2018-02-28,0.08,-0.19
2018-03-01,0.20,0.01
2018-03-02,0.28,0.33
2018-03-03,0.35,0.32
2018-03-04,0.46,0.47
2018-03-05,0.33,0.40
2018-03-06,0.47,0.44
2018-03-07,0.40,0.33
2018-03-08,0.31,0.24
2018-03-09,0.69,0.55
2018-03-10,0.67,0.54
2018-03-11,0.65,0.51
2018-03-12,0.24,0.03
2018-03-13,0.69,0.64
2018-03-14,0.42,0.39
2018-03-15,0.36,0.31
2018-03-16,0.42,0.23
2018-03-17,0.24,-0.01
2018-03-18,0.41,0.33
2018-03-19,0.53,0.32
2018-03-20,0.54,0.50
2018-03-21,0.66,0.43
2018-03-22,0.39,0.33
2018-03-23,0.42,0.43
2018-03-24,0.53,0.54
2018-03-25,0.39,0.42
2018-03-26,0.14,0.22
2018-03-27,0.37,0.32
2018-03-28,0.35,0.45
2018-03-29,0.33,0.32
2018-03-30,0.40,0.45
2018-03-31,0.33,0.28
2018-04-01,0.48,0.37
2018-04-02,0.07,0.17
2018-04-03,0.33,0.58
2018-04-04,0.81,0.88
2018-04-05,1.38,1.31
2018-04-06,1.26,0.92
2018-04-07,0.83,0.70
2018-04-08,1.05,0.83
2018-04-09,1.21,0.76
2018-04-10,0.88,0.98
2018-04-11,0.75,0.31
2018-04-12,0.94,0.66
2018-04-13,0.88,0.95
2018-04-14,0.83,1.08
2018-04-15,1.08,1.56
2018-04-16,1.35,1.70
2018-04-17,1.36,1.83
2018-04-18,1.51,1.77
2018-04-19,1.93,2.69
2018-04-20,2.34,2.72
2018-04-21,2.63,3.19
2018-04-22,2.88,3.34
2018-04-23,2.38,2.23
2018-04-24,1.59,1.73
2018-04-25,2.88,2.47
2018-04-26,2.80,2.23
2018-04-27,2.94,3.38
2018-04-28,3.01,3.17
2018-04-29,3.37,3.43
2018-04-30,3.35,3.11
2018-05-01,2.37,1.98
2018-05-02,0.92,0.94
2018-05-03,1.69,1.85
2018-05-04,2.15,1.77
2018-05-05,3.18,3.22
2018-05-06,3.20,3.30
2018-05-07,2.68,2.79
2018-05-08,4.13,4.42
2018-05-09,3.48,3.69
2018-05-10,3.60,4.00
2018-05-11,3.50,3.85
2018-05-12,3.75,4.37
2018-05-13,3.66,4.31
2018-05-14,3.57,4.34
2018-05-15,3.57,3.76
2018-05-16,4.00,4.47
2018-05-17,6.20,5.28
2018-05-18,6.17,6.03
2018-05-19,5.12,5.36
2018-05-20,5.42,5.23
2018-05-21,4.56,4.58
2018-05-22,5.36,5.41
2018-05-23,6.53,6.14
2018-05-24,5.72,5.91
2018-05-25,4.23,4.63
2018-05-26,5.87,5.49
2018-05-27,6.29,6.08
2018-05-28,5.21,5.24
2018-05-29,5.30,5.00
2018-05-30,6.97,6.34
2018-05-31,6.83,6.58
2018-06-01,5.77,5.30
2018-06-02,6.82,6.68
2018-06-03,7.07,6.99
2018-06-04,7.76,6.71
2018-06-05,6.70,6.23
2018-06-06,6.55,5.97
2018-06-07,6.43,5.10
2018-06-08,7.84,6.75
2018-06-09,7.62,6.45
2018-06-10,6.10,6.11
2018-06-11,7.44,6.91
2018-06-12,5.16,4.36
2018-06-13,7.45,6.28
2018-06-14,6.50,5.56
2018-06-15,6.08,5.55
2018-06-16,7.34,6.38
2018-06-17,7.38,6.84
2018-06-18,5.02,3.69
2018-06-19,6.15,4.37
2018-06-20,8.89,7.52
2018-06-21,7.89,7.19
2018-06-22,4.15,1.89
2018-06-23,7.93,6.21
2018-06-24,7.68,6.93
2018-06-25,7.48,6.23
2018-06-26,8.70,7.35
2018-06-27,8.30,6.99
2018-06-28,5.15,3.78
2018-06-29,9.06,7.70
2018-06-30,9.21,7.59
2018-07-01,7.94,8.19
2018-07-02,8.09,7.36
2018-07-03,6.76,6.32
2018-07-04,8.03,6.58
2018-07-05,8.43,7.16
2018-07-06,4.69,3.88
2018-07-07,9.94,7.80
2018-07-08,9.18,7.81
2018-07-09,8.52,6.84
2018-07-10,6.63,5.35
2018-07-11,8.27,7.54
2018-07-12,8.04,7.33
2018-07-13,8.28,7.02
2018-07-14,8.01,6.77
2018-07-15,8.15,6.92
2018-07-16,7.60,6.40
2018-07-17,7.17,5.98
2018-07-18,7.40,5.61
