Date,GPP_RO2,GPP_RO3
2016-01-01,0.10,0.02
2016-01-02,0.13,0.11
2016-01-03,-0.45,-0.04
2016-01-04,-0.15,-0.14
2016-01-05,-0.17,-0.18
2016-01-06,-0.41,-0.15
2016-01-07,-0.55,-0.41
2016-01-08,-0.45,-0.32
2016-01-09,-0.41,-0.15
2016-01-10,-0.38,-0.26
2016-01-11,0.21,0.26
2016-01-12,0.52,0.22
2016-01-13,-0.23,-0.25
2016-01-14,-0.25,-0.15
2016-01-15,0.06,0.01
2016-01-16,0.36,0.04
2016-01-17,0.24,0.14
2016-01-18,-0.34,-0.26
2016-01-19,-0.27,-0.39
2016-01-20,-0.12,-0.25
2016-01-21,0.07,-0.32
2016-01-22,0.16,-0.19
2016-01-23,0.42,-0.07
2016-01-24,0.65,0.17
2016-01-25,0.22,-0.16
2016-01-26,0.40,0.36
2016-01-27,0.18,0.44
2016-01-28,-0.10,0.14
2016-01-29,0.06,-0.08
2016-01-30,0.16,0.67
2016-01-31,0.41,0.30
2016-02-01,0.13,0.10
2016-02-02,0.47,0.49
2016-02-03,0.20,-0.03
2016-02-04,0.06,-0.12
2016-02-05,0.01,0.02
2016-02-06,-0.12,0.02
2016-02-07,-0.20,-0.05
2016-02-08,0.15,0.29
2016-02-09,-0.33,0.09
2016-02-10,-0.65,-0.18
2016-02-11,-0.56,-0.23
2016-02-12,-0.25,0.07
2016-02-13,0.02,0.09
2016-02-14,0.19,0.17
2016-02-15,0.61,0.16
2016-02-16,0.56,0.19
2016-02-17,0.69,0.59
2016-02-18,0.73,0.52
2016-02-19,1.04,0.75
2016-02-20,0.69,0.40
2016-02-21,1.12,0.88
2016-02-22,1.31,0.62
2016-02-23,1.17,0.28
2016-02-24,1.50,0.38
2016-02-25,0.72,0.21
2016-02-26,0.51,0.25
2016-02-27,0.50,0.22
2016-02-28,0.47,0.35
2016-02-29,0.66,0.40
2016-03-01,0.71,0.63
2016-03-02,0.72,0.65
2016-03-03,0.82,0.53
2016-03-04,0.53,0.30
2016-03-05,0.30,0.38
2016-03-06,0.29,0.36
2016-03-07,0.01,0.08
2016-03-08,0.25,0.23
2016-03-09,0.30,0.30
2016-03-10,0.60,0.66
2016-03-11,0.48,0.39
2016-03-12,0.59,0.47
2016-03-13,0.49,0.41
2016-03-14,0.70,0.42
2016-03-15,1.01,0.65
2016-03-16,0.90,0.48
