Date	airTmean	airTmax	airTmin	Radiation	VP	Veg	CO2
2018-01-01	-2.1	-1.1	-2.6	NaN	5	0	405.888725
2018-01-02	-2.2	-1.6	-2.8	NaN	5	0	400.706617826389
2018-01-03	-11	-1.8	-18.8	NaN	2.6	0	402.194944135716
2018-01-04	-12.8	-7.8	-19.8	NaN	2.2	0	406.784071459189
2018-01-05	-6.8	-6.3	-7.8	NaN	3.4	0	404.455339806069
2018-01-06	-8.8	-7	-12.6	NaN	2.8	0	401.599577496941
2018-01-07	-9.4	-5.5	-12.7	NaN	2.7	0	401.780173621627
2018-01-08	-8.8	-5.8	-11.9	NaN	2.9	0	401.017740063603
2018-01-09	-0.8	0.8	-6.2	NaN	5.5	0	401.035463485924
2018-01-10	-10.7	-4.1	-17.9	NaN	2.7	0	400.670321818318
2018-01-11	-20.2	-17.9	-22.7	NaN	1.1	0	400.328941939754
2018-01-12	-18.1	-16.1	-21.6	NaN	1.3	0	401.642074542728
2018-01-13	-15.8	-6.7	-19.3	NaN	1.7	0	403.599941512398
2018-01-14	-5.8	-4.1	-7.7	NaN	3.8	0	403.226019733182
2018-01-15	-3.2	-2.1	-4.7	NaN	4.5	0	402.786393996077
2018-01-16	-7	-3.3	-8.7	NaN	3.5	0	405.418958687307
2018-01-17	-9	-7.8	-10.7	NaN	2.8	0	406.081775514346
2018-01-18	-9.1	-7.7	-11.7	NaN	2.8	0	407.726300210929
2018-01-19	-11.4	-9.1	-14.8	NaN	2.3	0	405.870204200372
2018-01-20	-7.1	-5.2	-11.7	NaN	3.4	0	408.601171421279
2018-01-21	-8.2	-6.1	-10.7	NaN	3.1	0	409.107976436141
2018-01-22	-15.5	-10.6	-21.5	NaN	1.7	0	407.438482277171
2018-01-23	-14.2	-6.1	-20.8	NaN	1.9	0	406.923719674166
2018-01-24	-2	-0.4	-6.2	NaN	5.1	0	406.775850981741
2018-01-25	-0.1	0.9	-2.7	NaN	5.8	0	404.256286753286
2018-01-26	-5.2	-0.7	-10.8	NaN	4	0	403.765131641991
2018-01-27	-7.3	-6.4	-8.7	NaN	3.3	0	406.667040128795
2018-01-28	-6.6	-5.8	-7.5	NaN	3.6	0	407.773399471352
2018-01-29	-7.5	-6.6	-8.1	NaN	3.3	0	407.481697399001
2018-01-30	-7.7	-6.9	-8.7	NaN	3.2	0	407.889368752215
2018-01-31	-6.7	-5.4	-8.1	NaN	3.5	0	408.20809659562
2018-02-01	-9.9	-6.8	-14.8	NaN	2.7	0	408.405436948024
2018-02-02	-13.9	-13.1	-14.9	NaN	1.8	0	406.247912198722
2018-02-03	-12.1	-9.9	-15.3	NaN	2.1	0	404.467573210647
2018-02-04	-15.3	-11.5	-22.5	NaN	1.7	0	403.033869112175
2018-02-05	-19.6	-10.7	-23.5	NaN	1.2	0	404.067683190549
2018-02-06	-14.6	-11.3	-19.6	NaN	1.8	0	404.360188202475
2018-02-07	-16.9	-13.5	-23.8	NaN	1.5	0	406.041432696686
2018-02-08	-13.4	-3.9	-24	NaN	2.2	0	406.156553342225
2018-02-09	-2.4	-0.7	-4.1	NaN	4.9	0	404.670364413011
2018-02-10	-4.1	-2.4	-6.2	NaN	4.2	0	405.272993411761
2018-02-11	-4.6	-2.4	-7.1	NaN	4.2	0	404.634199492325
2018-02-12	-5.8	-5.2	-6.9	NaN	3.7	0	411.105239668688
2018-02-13	-2.9	-0.8	-5.3	NaN	4.7	0	408.052012975839
2018-02-14	-2.2	-1	-3.5	NaN	5	0	406.105798421949
2018-02-15	-2.6	-1.2	-4.9	NaN	4.6	0	403.113608192712
2018-02-16	-4.9	-2	-11.9	NaN	4	0	405.062564491491
2018-02-17	-7.6	-5.3	-12.6	NaN	3.3	0	404.743673448985
2018-02-18	-7.1	-5.8	-9.2	NaN	3.4	0	406.531780714246
2018-02-19	-11	-7.9	-15.6	NaN	2.4	0	407.321174763684
2018-02-20	-16.9	-9.9	-20.9	NaN	1.4	0	405.566262195478
2018-02-21	-18.8	-10.7	-22.9	NaN	1.2	0	405.597785733743
2018-02-22	-20.6	-12.8	-27.3	NaN	1	0	405.704132795636
2018-02-23	-16.3	-10.9	-23.6	NaN	1.5	0	406.309405619815
2018-02-24	-17.2	-11.5	-23.1	NaN	1.4	0	404.443778781785
2018-02-25	-17.7	-12.2	-25	NaN	1.3	0	403.451854648545
2018-02-26	-11.5	-7.6	-16.3	NaN	2.2	0	403.138088057797
2018-02-27	-15.1	-9.3	-21.8	NaN	1.5	0	403.192465998105
2018-02-28	-19.3	-10.4	-26	NaN	1.1	0	403.341303577821
2018-03-01	-15.1	-6.1	-21.9	NaN	1.7	0	402.647903239337
2018-03-02	-12.8	-6.8	-18.7	NaN	2.1	0	402.361031860362
2018-03-03	-8.1	-5.3	-12.5	NaN	3.1	0	406.297067767812
2018-03-04	-8.2	-5.9	-10.7	NaN	3	0	405.793337424005
2018-03-05	-10.9	-8	-12.5	NaN	2.3	0	404.794219474412
2018-03-06	-11.1	-8.1	-12.5	NaN	2.3	0	405.702803888674
2018-03-07	-11.6	-9.1	-12.8	NaN	2.1	0	404.946138253147
