Date	airTmean	airTmax	airTmin	Radiation	VP	Veg	CO2
2016-01-01	-2	0.9	-3.4	NaN	4.9	0	405.389602083333
2016-01-02	-6.6	-3.2	-11.7	NaN	3.5	0	405.497559729167
2016-01-03	-8.9	-8	-10.3	NaN	2.9	0	404.945113541667
2016-01-04	-13.9	-9	-17.1	NaN	1.8	0	406.760231583333
2016-01-05	-16.5	-14	-19.5	NaN	1.4	0	405.638599125
2016-01-06	-22.7	-18.8	-26.4	NaN	0.8	0	409.689988020833
2016-01-07	-29.8	-25.8	-31.3	NaN	0.4	0	410.936185416667
2016-01-08	-28.6	-21.9	-31.6	NaN	0.5	0	406.5719375
2016-01-09	-21.1	-17.5	-23.3	NaN	0.9	0	402.6475609375
2016-01-10	-20.9	-14.9	-23.2	NaN	1	0	402.861663020833
2016-01-11	-10.2	-8.9	-14.8	NaN	2.5	0	406.567193229167
2016-01-12	-10.3	-8	-16.1	NaN	2.5	0	408.128917354167
2016-01-13	-16.4	-14.9	-18.4	NaN	1.4	0	404.425161979167
2016-01-14	-15.3	-13.9	-17.4	NaN	1.5	0	402.335197916667
2016-01-15	-12.4	-9.8	-14.5	NaN	2	0	403.781144270833
2016-01-16	-8.3	-6.8	-11.3	NaN	2.8	0	403.334539583333
2016-01-17	-11.8	-5.9	-17.3	NaN	2.2	0	409.487359541667
2016-01-18	-16.9	-14.6	-18.5	NaN	1.4	0	408.226186979167
2016-01-19	-20	-15.5	-24.1	NaN	1.1	0	407.84068125
2016-01-20	-19.7	-14.3	-24.9	NaN	1.1	0	411.185079166667
2016-01-21	-27	-22.6	-29.7	NaN	0.5	0	406.153615625
2016-01-22	-16	-11	-24.6	NaN	1.6	0	401.418111979167
2016-01-23	-11.4	-7.2	-15.7	NaN	2.4	0	405.936853458333
2016-01-24	-8.1	-5.7	-12.5	NaN	3.2	0	407.2579609375
2016-01-25	-11.3	-5.9	-15.1	NaN	2.4	0	404.996022916667
2016-01-26	-2	-0.2	-5.9	NaN	5.1	0	406.2468413125
2016-01-27	-1.6	-0.1	-5.3	NaN	5.3	0	403.549833854167
2016-01-28	-5.7	-3.5	-9.8	NaN	3.8	0	401.012421020833
2016-01-29	-6.1	0.2	-10.4	NaN	3.8	0	401.864934208333
2016-01-30	-0.8	0.4	-4.2	NaN	5.5	0	403.049446875
2016-01-31	-4.4	-2	-8.9	NaN	4.2	0	402.218640979167
2016-02-01	-9.5	-5.4	-11.6	NaN	2.8	0	402.478322395833
2016-02-02	-6.5	-4.3	-11	NaN	3.6	0	403.683010152174
2016-02-03	-15	-10	-17.7	NaN	1.7	0	405.111555375
2016-02-04	-11.5	-3.8	-16.8	NaN	2.4	0	406.256031770833
2016-02-05	-12.1	-7.3	-16.9	NaN	2.2	0	405.790394791667
2016-02-06	-5.3	-0.1	-16.6	NaN	4.2	0	408.201676895833
2016-02-07	-2.2	1.2	-6.9	NaN	5.1	0	407.459440291667
2016-02-08	0.7	1.2	0.2	NaN	6.2	0	408.801700520833
2016-02-09	0.4	1	0	NaN	6.1	0	409.322804520833
2016-02-10	0.2	1.1	-0.2	NaN	6	0	408.304800520833
2016-02-11	-1.6	0.2	-3.3	NaN	5.2	0	407.861124479167
2016-02-12	-4	-3.3	-4.5	NaN	4.3	0	404.5713376875
2016-02-13	-3.6	-2.5	-5.7	NaN	4.5	0	404.410322916667
2016-02-14	-3.8	-2	-6.9	NaN	4.4	0	404.950036979167
2016-02-15	-8.1	-5.4	-12.8	NaN	2.9	0	404.434708888889
2016-02-16	-8.9	-3.5	-13.1	NaN	2.9	0	402.485075354167
2016-02-17	-5.5	-2.5	-12.5	NaN	3.9	0	405.009076041667
2016-02-18	-4.8	-2	-9.6	NaN	4.2	0	407.502556604167
2016-02-19	-5.2	-2.2	-11.5	NaN	3.9	0	405.778794458333
2016-02-20	-3.3	-1.1	-11.3	NaN	4.6	0	409.038469791667
2016-02-21	-1.2	-0.1	-1.9	NaN	5.4	0	406.0493418125
2016-02-22	-2.6	-1	-5.5	NaN	4.8	0	409.695561625
2016-02-23	-7.1	-3.5	-10.9	NaN	3.3	0	407.959370666667
2016-02-24	-4.6	0.5	-10	NaN	4.1	0	404.668717875
2016-02-25	-11.7	-7.9	-16.9	NaN	2.2	0	408.678012854167
2016-02-26	-13.8	-9.1	-19.6	NaN	1.8	0	411.637244270833
2016-02-27	-13.9	-6.5	-19	NaN	1.9	0	407.981856604167
2016-02-28	-11.7	-3.8	-15.9	NaN	2.2	0	409.139015458333
2016-02-29	-8.3	1	-15.6	NaN	3.1	0	407.443253125
2016-03-01	-6.6	-2.5	-13	NaN	3.5	0	407.731482104167
2016-03-02	-5.6	-2.5	-10.9	NaN	3.7	0	407.91990212766
2016-03-03	-6.4	-4	-9.1	NaN	3.4	0	408.412875520833
2016-03-04	-4.6	-3.8	-5.6	NaN	4.2	0	409.771919270833
2016-03-05	-2.9	-1.9	-4	NaN	4.7	0	412.792491145833
2016-03-06	-2.2	-0.7	-3.4	NaN	5	0	413.620442708333
2016-03-07	-1.6	-0.7	-3.2	NaN	5.2	0	412.079390625
2016-03-08	-0.5	0.4	-1.7	NaN	5.7	0	411.564580729167
2016-03-09	-0.6	0.1	-1.1	NaN	5.6	0	411.818558166667
2016-03-10	-1.9	1.8	-6.2	NaN	4.9	0	411.203252604167
2016-03-11	-1.6	5.4	-6.9	NaN	4.9	0	406.754302958333
2016-03-12	-2.3	6.4	-8.4	NaN	4.4	0	407.150613541667
2016-03-13	-1.6	2.8	-4.8	NaN	4.9	0	408.720244270833
2016-03-14	1.1	6.1	-2.5	NaN	5.7	0	402.650214583333
2016-03-15	5.5	12.7	-1.4	NaN	6.7	0	400.74190212766
2016-03-16	5.5	9.9	1.8	NaN	6	0	401.20687573913
2016-03-17	1.9	6.6	-3.6	NaN	4.9	0	402.550314583333
2016-03-18	-3.9	-0.4	-6.7	NaN	2.3	0	402.781672041667
2016-03-19	-3.2	0.8	-6.1	NaN	2.6	0	403.466623083333
2016-03-20	-4.8	-1.4	-10.9	NaN	3.5	0	404.092006770833
2016-03-21	-5.9	-1.6	-13.7	NaN	3.1	0	404.174897916667
2016-03-22	-8.6	-3.4	-17.5	NaN	3	0	403.878467708333
2016-03-23	-4.9	-1.8	-11.5	NaN	3.9	0	404.948338895833
2016-03-24	-3.1	4.5	-11.2	NaN	3.9	0	404.243562854167
2016-03-25	-0.2	3.9	-2.3	NaN	5.4	0	404.076196354167
2016-03-26	1	7.6	-4.6	NaN	5.1	0	403.629297916667
2016-03-27	1.9	7.8	-2.4	NaN	5.8	0	403.226456770833
2016-03-28	2.9	8.5	-1.8	NaN	5.8	0	404.725566145833
2016-03-29	2.8	7.9	-1.2	NaN	6	0	407.732623604167
2016-03-30	0.6	4.7	-2	NaN	6.1	0	405.432063020833
2016-03-31	1.1	6.8	-3.6	NaN	4.5	0	404.087282458333
2016-04-01	-0.2	6.4	-6.2	NaN	3.7	0	403.919920833333
2016-04-02	0	5.8	-6.9	NaN	3.8	0	403.852584375
2016-04-03	1.1	5.4	-2.7	NaN	5.7	0	403.200661979167
2016-04-04	-0.3	2.5	-3.4	NaN	5.7	0	404.261951041667
2016-04-05	0.5	1.8	0	NaN	6.1	0	405.679072395833
2016-04-06	1.2	3.2	0.1	NaN	6.4	0	407.512529
2016-04-07	2	7.1	-0.8	NaN	6.5	0	406.274179
2016-04-08	2.2	7.2	-1.6	NaN	5.3	0	403.619388895833
2016-04-09	2.9	8.9	-3.4	NaN	4.8	0	403.804333854167
2016-04-10	3.1	8.7	-2.8	NaN	5.1	0	405.226125875
2016-04-11	2.4	10	-4.5	NaN	4.5	0	404.1134125
2016-04-12	3	7.9	-2.6	NaN	4.4	0	403.6530305625
2016-04-13	-0.8	3.1	-7.3	NaN	3.8	0	403.192523770833
2016-04-14	-2.9	2.4	-9.6	NaN	2.5	0	403.031478645833
2016-04-15	-1.4	1.2	-5.5	NaN	4.4	0	403.143949479167
2016-04-16	1.5	4.2	-0.9	NaN	6.6	0	402.7245649375
2016-04-17	1.7	4.8	-0.9	NaN	6.6	0	403.462309375
2016-04-18	1.5	5.4	-2.3	NaN	5.6	0	403.4579984375
2016-04-19	1.6	6.8	-3.1	NaN	4.8	0	403.481084895833
2016-04-20	1.4	6.3	-4.1	NaN	4	0	403.277509729167
2016-04-21	0.4	6.6	-5.4	NaN	5.4	0	403.054658854167
2016-04-22	1.4	5.5	-1.8	NaN	4.6	0	403.468114583333
2016-04-23	1.1	6.3	-3.1	NaN	4.6	0	403.572805208333
2016-04-24	0.2	5.7	-4.7	NaN	3.9	0	403.2707461875
2016-04-25	-0.9	1.7	-3.9	NaN	5	0	403.6432381875
2016-04-26	0.8	3.9	-0.6	NaN	6	0	402.540768916667
2016-04-27	1.9	6.8	0.2	NaN	6.8	0	404.161513020833
2016-04-28	4.2	8.3	-0.2	NaN	6.9	0	403.181453125
2016-04-29	4.5	8.4	-1.4	NaN	7.2	0	404.439934729167
2016-04-30	5.4	13.4	-1.9	19.1	5.8	1	403.178854
2016-05-01	6.5	15.5	-0.7	16.2	5.8	1	402.880453645833
2016-05-02	5.9	13.2	-1	20.4	5.7	1	403.357463895833
2016-05-03	8.1	16.9	-0.5	19.7	6.2	1	402.5889756875
2016-05-04	10	19.1	0.2	12.9	7.3	1	400.503984895833
2016-05-05	8.7	17.4	-1.2	22.1	5.8	1	402.963370479167
2016-05-06	9.9	18.6	-0.3	20.8	6.1	1	402.464573958333
